var_a,var_b,presence,mark_frac,arrow_at_b_frac,arrow_at_a_frac,undirected_frac,consensus_mark,consensus
BARYONIC_MASS,ELPETRO_ABSMAG_R,1.0,1.0,0.0,0.0,1.0,o-o,BARYONIC_MASS o-o ELPETRO_ABSMAG_R
BARYONIC_MASS,ELPETRO_MASS,1.0,1.0,1.0,0.0,0.0,o->,BARYONIC_MASS o-> ELPETRO_MASS
BARYONIC_MASS,logMH,1.0,1.0,1.0,0.0,0.0,-->,BARYONIC_MASS --> logMH
COLOR_U_R,ELPETRO_B300,1.0,1.0,1.0,0.0,0.0,o->,COLOR_U_R o-> ELPETRO_B300
ELPETRO_ABSMAG_R,ELPETRO_MASS,1.0,1.0,1.0,0.0,0.0,o->,ELPETRO_ABSMAG_R o-> ELPETRO_MASS
ELPETRO_MASS,logMH,1.0,1.0,1.0,0.0,0.0,-->,ELPETRO_MASS --> logMH
ELPETRO_B300,ELPETRO_METS,1.0,1.0,0.0,1.0,0.0,<-o,ELPETRO_B300 <-o ELPETRO_METS
COLOR_U_R,ELPETRO_MTOL,1.0,1.0,0.0,0.0,1.0,o-o,COLOR_U_R o-o ELPETRO_MTOL
ELPETRO_MASS,ELPETRO_MTOL,1.0,1.0,0.0,1.0,0.0,<-o,ELPETRO_MASS <-o ELPETRO_MTOL
ELPETRO_TH50_R,ZDIST,1.0,1.0,1.0,0.0,0.0,o->,ELPETRO_TH50_R o-> ZDIST
BARYONIC_MASS,W50,1.0,1.0,0.0,0.0,1.0,o-o,BARYONIC_MASS o-o W50
ZDIST,logMH,1.0,1.0,0.0,1.0,0.0,<--,ZDIST <-- logMH
