var_a,var_b,presence,consensus_mark
Z_gas,Z_star,1.0,-->
colour,r_mag,1.0,<--
stellar_mass,veldisp,1.0,-->
stellar_mass,u_mag,1.0,-->
sfr,stellar_mass,1.0,<-o
halo_mass,stellar_mass,1.0,<--
gas_mass,stellar_mass,1.0,<--
colour,stellar_mass,1.0,<--
Z_star,stellar_mass,1.0,<--
sfr,u_mag,1.0,-->
gas_mass,sfr,1.0,<--
r_mag,u_mag,1.0,-->
r_mag,stellar_mass,1.0,o->
r_mag,sfr,1.0,o->
baryon_mass,r_mag,1.0,o-o
Z_gas,colour,1.0,-->
halo_mass,veldisp,1.0,o-o
bh_mass,halo_mass,1.0,<--
Z_star,halo_mass,1.0,<-o
gas_mass,u_mag,1.0,-->
colour,u_mag,1.0,-->
colour,sfr,1.0,o->
colour,gas_mass,1.0,-->
baryon_mass,stellar_mass,1.0,o->
baryon_mass,sfr,1.0,o->
baryon_mass,gas_mass,1.0,-->
Z_gas,stellar_mass,1.0,o->
Z_gas,sfr,1.0,o->
size,u_mag,1.0,<--
