var_a,var_b,presence,consensus_mark
Z_gas,Z_star,1.0,<--
sfr,veldisp,1.0,-->
Z_gas,halo_mass,1.0,<--
gas_mass,r_mag,1.0,o-o
r_mag,sfr,1.0,-->
r_mag,u_mag,1.0,-->
r_mag,veldisp,1.0,-->
halo_mass,sfr,1.0,<--
sfr,u_mag,1.0,o-o
halo_mass,size,1.0,<--
gas_mass,u_mag,1.0,-->
size,veldisp,1.0,-->
Z_star,stellar_mass,1.0,o-o
baryon_mass,stellar_mass,1.0,o-o
gas_mass,stellar_mass,1.0,<-o
halo_mass,stellar_mass,1.0,<--
r_mag,stellar_mass,1.0,<-o
size,stellar_mass,1.0,<--
gas_mass,veldisp,1.0,-->
gas_mass,size,1.0,-->
Z_star,baryon_mass,1.0,o-o
baryon_mass,veldisp,1.0,-->
Z_star,bh_mass,1.0,-->
Z_star,gas_mass,1.0,o->
Z_star,r_mag,1.0,o->
Z_star,size,1.0,-->
baryon_mass,gas_mass,1.0,o->
baryon_mass,r_mag,1.0,o->
baryon_mass,size,1.0,-->
bh_mass,veldisp,1.0,-->
gas_mass,sfr,1.0,-->
Z_star,colour,1.0,o-o
colour,gas_mass,1.0,o->
colour,r_mag,1.0,o->
colour,sfr,1.0,-->
colour,stellar_mass,1.0,o-o
colour,u_mag,1.0,-->
bh_mass,gas_mass,1.0,<--
stellar_mass,veldisp,1.0,-->
