name,type,D,logMBH,e_logMBH,logsig,logLK,e_logLK,logMbulge,e_logMbulge,logTxc,e_logTxc,logR500,logM500,logLx500,central
N0821,S0/E6,23.4,7.59,0.16,2.32,11.14,0.08,10.98,0.09,-0.7,0.19,2.31,12.384,38.4,isolated
N2787,SB0,7.4,7.61,0.09,2.28,10.21,0.13,9.78,0.09,-0.74,0.31,2.28,12.294,37.97,isolated
N1023,SB0,10.8,7.62,0.05,2.22,10.94,0.07,10.53,0.09,-0.52,0.05,2.4,12.654,38.76,BFG:N1023
N7582,SBab,22.3,7.74,0.2,2.19,11.21,0.32,10.02,0.1,-0.74,0.09,2.28,12.294,39.43,BFG:Grus
N5128,E/S0,3.6,7.76,0.08,2.18,11.04,0.06,11.05,0.09,-0.46,0.06,2.44,12.774,39.86,BFG:CenA
N3031,SAab,3.6,7.81,0.13,2.15,10.93,0.08,10.42,0.09,-0.49,0.09,2.42,12.714,38.62,BFG:M81
N4151,Sab,20.0,7.81,0.08,2.06,10.96,0.13,9.99,0.08,-0.6,0.07,2.36,12.534,39.11,N4258(M106)
N4203,SAB0,14.1,7.82,0.26,2.11,10.76,0.11,10.3,0.14,-0.54,0.13,2.39,12.624,38.74,isolated
N4459,E2,16.0,7.84,0.09,2.2,10.94,0.04,10.88,0.09,-0.42,0.1,2.46,12.834,39.2,N4486/N4472
N4596,SB0,16.5,7.89,0.26,2.1,10.97,0.26,10.2,0.09,-0.68,0.07,2.32,12.414,39.41,N4486/N4472
N3377,E5,11.0,7.89,0.03,2.11,10.52,0.06,10.5,0.09,-0.6,0.1,2.36,12.534,38.04,N3379
N4036,S0,19.0,7.89,0.36,2.26,10.9,0.09,10.14,0.1,-0.34,0.08,2.5,12.954,39.34,N3945
N4258,SABbc,7.3,7.9,0.25,2.06,10.9,0.08,9.86,0.09,-0.64,0.05,2.34,12.474,39.72,BFG:CVnI
N4564,S0,15.9,7.95,0.12,2.19,10.67,0.04,10.38,0.09,-0.42,0.19,2.46,12.834,39.0,N4486/N4472
N4473,E5,15.2,7.95,0.24,2.27,10.89,0.03,10.85,0.09,-0.51,0.06,2.41,12.684,39.08,N4486/N4472
N4278,E1-2,15.0,7.96,0.27,2.33,10.87,0.09,10.9,0.09,-0.52,0.04,2.4,12.654,39.36,N4414
