name,ttype,logMBH,e_logMBH,logMh,e_logMh,logfstar,e_logfstar,logMstar,method
Milky Way,4.0,6.63,0.04,12.11,0.1,-0.68,0.18,10.626,GCs
M 31,3.0,8.15,0.16,12.08,0.3,-0.24,0.32,11.036,RC (HI)
M 66,3.1,6.93,0.05,12.09,0.24,-0.62,0.28,10.666,RC (Ha)
M 81,2.4,7.81,0.13,12.01,0.24,-0.61,0.28,10.596,RC (HI)
Centaurus A,-2.1,7.75,0.08,12.34,0.24,-0.81,0.28,10.726,RC (HI)
Circinus,3.3,6.06,0.1,11.69,0.24,-0.86,0.28,10.026,RC (HI)
NGC 307,-1.9,8.6,0.06,12.02,0.24,-0.55,0.28,10.666,Schw
NGC 821,-4.8,8.22,0.19,13.0,0.43,-1.27,0.46,10.926,GCs
NGC 1023,-2.6,7.62,0.04,12.98,0.65,-1.26,0.67,10.916,GCs
NGC 1068,3.0,6.92,0.24,12.18,0.24,-0.28,0.28,11.096,RC (Ha)
NGC 1097,3.3,8.14,0.09,12.3,0.24,-0.66,0.28,10.836,RC (HI)
NGC 1300,4.0,7.88,0.3,12.13,0.24,-0.68,0.28,10.646,RC (HI)
NGC 1398,2.0,8.03,0.08,12.54,0.24,-0.53,0.28,11.206,RC (HI)
NGC 1399,-4.6,8.95,0.31,12.94,0.04,-1.01,0.16,11.126,GCs
NGC 1407,-4.5,9.67,0.05,13.7,0.31,-1.37,0.34,11.526,GCs
NGC 2273,0.9,6.93,0.04,11.96,0.24,-0.6,0.28,10.556,RC (HI)
NGC 2748,4.0,7.65,0.18,11.69,0.24,-0.63,0.28,10.256,RC (Ha)
NGC 2787,-1.0,7.61,0.09,12.13,0.24,-1.48,0.28,9.846,RC (HI)
NGC 2960,0.8,7.03,0.05,12.43,0.24,-0.87,0.28,10.756,RC (HI)
NGC 2974,-4.3,8.23,0.08,12.71,0.3,-1.05,0.34,10.856,GCs
NGC 3079,6.4,6.4,0.05,12.13,0.24,-0.82,0.28,10.506,RC (HI)
NGC 3115,-2.9,8.95,0.08,13.01,0.62,-1.35,0.64,10.856,GCs
NGC 3227,1.5,7.32,0.23,12.26,0.24,-0.75,0.28,10.706,RC (HI)
NGC 3245,-2.1,8.38,0.11,12.3,0.24,-0.97,0.28,10.526,RC (stars)
NGC 3377,-4.8,8.25,0.23,12.22,0.34,-0.99,0.37,10.426,GCs
NGC 3607,-3.2,8.14,0.15,13.08,0.37,-0.96,0.4,11.316,GCs
NGC 3608,-4.8,8.67,0.09,13.15,0.55,-1.39,0.57,10.956,GCs
NGC 3706,-3.2,9.77,0.06,13.8,0.3,-1.81,0.34,11.186,Schw
NGC 3783,1.4,7.36,0.19,11.76,0.24,-0.15,0.28,10.806,RC (HI)
NGC 3923,-4.8,9.45,0.12,13.44,0.15,-1.58,0.21,11.056,GCs
NGC 3998,-2.2,8.93,0.05,12.6,0.2,-1.42,0.25,10.376,Schw
NGC 4151,1.9,7.81,0.08,11.8,0.24,-0.33,0.28,10.666,RC (HI)
NGC 4258,4.0,7.58,0.03,12.02,0.24,-0.67,0.28,10.546,RC (HI)
NGC 4303,4.0,6.51,0.74,11.76,0.24,-0.18,0.28,10.776,RC (HI)
NGC 4374,-4.4,8.97,0.04,13.69,0.57,-1.45,0.59,11.436,GCs
NGC 4388,2.8,6.86,0.01,11.96,0.24,-0.91,0.28,10.246,RC (HI)^a
NGC 4459,-1.6,7.84,0.08,12.82,0.42,-1.11,0.45,10.906,GCs
NGC 4472,-4.8,9.4,0.04,13.98,0.3,-1.69,0.34,11.486,GCs
NGC 4473,-4.7,7.95,0.22,12.88,0.51,-1.19,0.53,10.886,GCs
NGC 4486,-4.3,9.81,0.06,13.75,0.24,-1.4,0.28,11.546,GCs
NGC 4501,3.3,7.3,0.08,12.37,0.24,-0.6,0.28,10.966,RC (CO)
NGC 4526,-1.9,8.65,0.12,13.16,0.48,-1.17,0.5,11.186,GCs
NGC 4564,-4.6,7.94,0.12,12.88,0.78,-1.57,0.79,10.506,GCs
NGC 4594,1.1,8.82,0.04,12.73,0.24,-0.78,0.28,11.146,RC (HI)
NGC 4649,-4.6,9.67,0.1,13.76,0.43,-1.43,0.46,11.526,GCs
NGC 4697,-4.5,8.31,0.11,13.17,0.54,-1.29,0.56,11.076,GCs
NGC 4736,2.3,6.83,0.12,11.93,0.24,-0.76,0.28,10.366,RC (HI)
NGC 4762,-1.8,7.36,0.14,12.07,0.24,-0.52,0.28,10.746,RC (stars)
NGC 4826,2.2,6.19,0.13,11.69,0.24,-0.28,0.28,10.606,RC (HI)
NGC 4945,6.1,6.13,0.18,11.86,0.24,-0.7,0.28,10.356,RC (HI)
NGC 5328,-4.7,9.67,0.16,13.35,0.3,-1.31,0.34,11.236,X-ray
NGC 5846,-4.8,9.04,0.05,13.85,0.45,-1.66,0.47,11.386,GCs
NGC 7052,-4.9,8.6,0.23,12.91,0.3,-0.83,0.34,11.276,X-ray
NGC 7457,-2.7,6.95,0.26,12.02,0.47,-1.16,0.49,10.056,GCs
NGC 7619,-4.8,9.4,0.11,13.82,0.37,-1.8,0.4,11.216,Schw
