edge,presence,orient_frac
BH_MASS --> GAS_MASS,1.0,1.0
BH_MASS o-o GAS_METALLICITY,1.0,1.0
BH_MASS o-o LOG_SIGMA,1.0,1.0
BH_MASS --> SSFR,1.0,1.0
BH_MASS o-o STAR_METALLICITY,1.0,1.0
GAS_MASS <-- GAS_METALLICITY,1.0,1.0
GAS_METALLICITY --> SSFR,1.0,1.0
DM_MASS o-o LOG_SIGMA,1.0,1.0
GAS_MASS o-o SSFR,1.0,1.0
GAS_METALLICITY o-o STAR_METALLICITY,1.0,1.0
LOG_SIGMA o-o STAR_METALLICITY,1.0,1.0
BH_MASS o-o STELLAR_MASS,1.0,1.0
DM_MASS o-o STELLAR_MASS,1.0,1.0
GAS_MASS <-- STELLAR_MASS,1.0,1.0
LOG_SIGMA o-o STELLAR_MASS,1.0,1.0
SSFR <-- STELLAR_MASS,1.0,1.0
STAR_METALLICITY o-o STELLAR_MASS,1.0,1.0
